2021-06-20 00:18:15.777 +07:00 [INF] AccessLogGrantToday [ success:true, total:0]

2021-06-20 00:19:13.945 +07:00 [INF] AccessLogGrantToday [ success:true, total:0]

2021-06-20 00:20:19.153 +07:00 [INF] AccessLogGrantToday [ success:true, total:0]

2021-06-20 00:23:19.127 +07:00 [INF] AccessLogGrantToday [ success:true, total:0]

2021-06-20 00:24:09.810 +07:00 [INF] AccessLogGrantToday [ success:true, total:0]

2021-06-20 00:25:13.749 +07:00 [INF] AccessLogGrantToday [ success:true, total:0]

2021-06-20 00:26:15.014 +07:00 [INF] AccessLogGrantToday [ success:true, total:0]

2021-06-20 00:29:34.462 +07:00 [INF] AccessLogGrantToday [ success:true, total:0]

2021-06-20 01:03:10.529 +07:00 [INF] AccessLogGrantToday [ success:true, total:0]

2021-06-20 01:05:03.471 +07:00 [INF] AccessLogGrantToday [ success:true, total:0]

2021-06-20 13:07:03.763 +07:00 [INF] AccessLogGrantToday [ success:true, total:0]

2021-06-20 13:07:03.763 +07:00 [INF] AccessLogGrantToday [ success:true, total:0]

2021-06-20 13:07:28.310 +07:00 [INF] AccessLogGrantToday [ success:true, total:0]

2021-06-20 13:08:18.742 +07:00 [INF] AccessLogGrantToday [ success:true, total:0]

2021-06-20 13:09:08.002 +07:00 [INF] AccessLogGrantToday [ success:true, total:0]

2021-06-20 13:10:12.520 +07:00 [INF] AccessLogGrantToday [ success:true, total:0]

2021-06-20 13:11:14.885 +07:00 [INF] AccessLogGrantToday [ success:true, total:0]

2021-06-20 13:12:19.044 +07:00 [INF] AccessLogGrantToday [ success:true, total:0]

2021-06-20 13:13:08.549 +07:00 [INF] AccessLogGrantToday [ success:true, total:0]

2021-06-20 13:14:13.631 +07:00 [INF] AccessLogGrantToday [ success:true, total:0]

2021-06-20 13:15:13.921 +07:00 [INF] AccessLogGrantToday [ success:true, total:0]

2021-06-20 13:16:18.018 +07:00 [INF] AccessLogGrantToday [ success:true, total:0]

2021-06-20 13:17:18.279 +07:00 [INF] AccessLogGrantToday [ success:true, total:0]

2021-06-20 13:18:37.998 +07:00 [INF] AccessLogGrantToday [ success:true, total:0]

2021-06-20 13:20:20.389 +07:00 [INF] AccessLogGrantToday [ success:true, total:0]

2021-06-20 13:22:31.850 +07:00 [INF] AccessLogGrantToday [ success:true, total:0]

2021-06-20 13:23:13.922 +07:00 [INF] AccessLogGrantToday [ success:true, total:0]

2021-06-20 13:24:39.479 +07:00 [INF] AccessLogGrantToday [ success:true, total:0]

2021-06-20 13:26:04.365 +07:00 [INF] AccessLogGrantToday [ success:true, total:0]

2021-06-20 13:26:52.038 +07:00 [INF] AccessLogGrantToday [ success:true, total:0]

2021-06-20 13:27:18.243 +07:00 [INF] AccessLogGrantToday [ success:true, total:0]

2021-06-20 13:27:58.518 +07:00 [INF] AccessLogGrantToday [ success:true, total:0]

2021-06-20 13:28:06.920 +07:00 [INF] AccessLogGrantToday [ success:true, total:0]

2021-06-20 13:50:21.787 +07:00 [INF] AccessGranted [ success:true, total:0]

2021-06-20 13:51:28.176 +07:00 [INF] AccessGranted [ success:true, total:0]

2021-06-20 13:51:30.303 +07:00 [INF] AccessGranted [ success:true, total:282]

2021-06-20 13:52:30.108 +07:00 [INF] AccessGranted [ success:true, total:0]

2021-06-20 13:53:45.145 +07:00 [INF] AccessGranted [ success:true, total:282]

2021-06-20 13:53:55.005 +07:00 [INF] AccessGranted [ success:true, total:0]

2021-06-20 13:54:23.470 +07:00 [INF] AccessGranted [ success:true, total:0]

2021-06-20 13:58:51.112 +07:00 [INF] AccessGranted [ success:true, total:282]

2021-06-20 14:03:01.787 +07:00 [INF] AccessGranted [ success:true, total:282]

2021-06-20 14:07:00.023 +07:00 [INF] AccessGranted [ success:true, total:0]

2021-06-20 14:07:10.079 +07:00 [INF] AccessGranted [ success:true, total:0]

2021-06-20 14:07:36.897 +07:00 [INF] AccessGranted [ success:true, total:282]

2021-06-20 14:11:50.242 +07:00 [INF] AccessGranted [ success:true, total:0]

2021-06-20 14:14:20.502 +07:00 [INF] AccessGranted [ success:true, total:282]

2021-06-20 14:14:32.407 +07:00 [INF] AccessGranted [ success:true, total:0]

2021-06-20 14:20:26.888 +07:00 [INF] AccessGranted [ success:true, total:282]

2021-06-20 14:22:27.229 +07:00 [INF] AccessGranted [ success:true, total:282]

2021-06-20 14:24:26.729 +07:00 [INF] AccessGranted [ success:true, total:0]

2021-06-20 14:24:41.688 +07:00 [INF] AccessGranted [ success:true, total:282]

2021-06-20 14:25:30.315 +07:00 [INF] AccessGranted [ success:true, total:0]

2021-06-20 14:26:58.398 +07:00 [INF] AccessGranted [ success:true, total:0]

2021-06-20 14:31:35.689 +07:00 [INF] AccessGranted [ success:true, total:282]

2021-06-20 14:32:14.971 +07:00 [INF] AccessGranted [ success:true, total:0]

2021-06-20 14:33:07.146 +07:00 [INF] AccessGranted [ success:true, total:0]

2021-06-20 14:34:11.332 +07:00 [INF] AccessGranted [ success:true, total:0]

2021-06-20 14:35:15.386 +07:00 [INF] AccessGranted [ success:true, total:0]

2021-06-20 14:36:18.385 +07:00 [INF] AccessGranted [ success:true, total:0]

2021-06-20 14:37:18.581 +07:00 [INF] AccessGranted [ success:true, total:0]

2021-06-20 14:38:18.697 +07:00 [INF] AccessGranted [ success:true, total:0]

2021-06-20 14:39:18.926 +07:00 [INF] AccessGranted [ success:true, total:0]

2021-06-20 14:40:19.103 +07:00 [INF] AccessGranted [ success:true, total:0]

2021-06-20 14:41:19.315 +07:00 [INF] AccessGranted [ success:true, total:0]

2021-06-20 14:42:19.544 +07:00 [INF] AccessGranted [ success:true, total:0]

2021-06-20 14:51:41.123 +07:00 [INF] AccessGranted [ success:true, total:0]

2021-06-20 14:51:41.123 +07:00 [INF] AccessGranted [ success:true, total:0]

2021-06-20 14:51:59.809 +07:00 [INF] AccessGranted [ success:true, total:282]

2021-06-20 14:54:40.782 +07:00 [INF] AccessGranted [ success:true, total:282]

2021-06-20 14:55:06.127 +07:00 [INF] AccessGranted [ success:true, total:282]

2021-06-20 14:56:49.405 +07:00 [INF] AccessGranted [ success:true, total:282]

2021-06-20 14:57:02.915 +07:00 [INF] AccessGranted [ success:true, total:0]

2021-06-20 15:22:25.560 +07:00 [INF] AccessGranted [ success:true, total:0]

2021-06-20 15:29:50.234 +07:00 [INF] AccessGranted [ success:true, total:0]

2021-06-20 15:30:54.770 +07:00 [INF] AccessGranted [ success:true, total:282]

2021-06-20 15:31:12.058 +07:00 [INF] AccessGranted [ success:true, total:0]

2021-06-20 15:31:15.269 +07:00 [INF] AccessGranted [ success:true, total:0]

2021-06-20 15:32:15.500 +07:00 [INF] AccessGranted [ success:true, total:0]

2021-06-20 15:33:17.748 +07:00 [INF] AccessGranted [ success:true, total:0]

2021-06-20 15:34:21.091 +07:00 [INF] AccessGranted [ success:true, total:0]

2021-06-20 15:35:06.425 +07:00 [INF] AccessGranted [ success:true, total:0]

2021-06-20 15:52:26.249 +07:00 [INF] AccessGranted [ success:true, total:0data:0]

2021-06-20 15:53:32.258 +07:00 [INF] AccessGranted [ success:true, total:0data:0]

2021-06-20 15:59:24.894 +07:00 [INF] AccessGranted [ success:true, total:0data:0]

2021-06-20 16:12:33.917 +07:00 [INF] AccessGranted [ success:true, total:0data:0]

2021-06-20 16:13:20.056 +07:00 [INF] AccessGranted [ success:true, total:0data:0]

2021-06-20 16:37:30.121 +07:00 [INF] AccessGranted [ success:true, total:0, data:0]

2021-06-20 16:38:12.230 +07:00 [INF] AccessGranted [ success:true, total:0, data:0]

2021-06-20 16:39:08.459 +07:00 [INF] AccessGranted [ success:true, total:0, data:0]

2021-06-20 16:40:12.710 +07:00 [INF] AccessGranted [ success:true, total:0, data:0]

2021-06-20 16:44:18.705 +07:00 [INF] AccessGranted [ success:true, total:0, data:0]

2021-06-20 16:49:30.709 +07:00 [INF] AccessGranted [ success:true, total:0, data:0]

2021-06-20 17:05:18.148 +07:00 [INF] AccessGranted [ success:true, total:0, data:0]

2021-06-20 17:06:22.434 +07:00 [INF] AccessGranted [ success:true, total:0, data:0]

2021-06-20 17:07:14.578 +07:00 [INF] AccessGranted [ success:true, total:0, data:0]

2021-06-20 17:08:21.797 +07:00 [INF] AccessGranted [ success:true, total:0, data:0]

2021-06-20 17:09:36.730 +07:00 [INF] AccessGranted [ success:true, total:0, data:0]

2021-06-20 18:39:13.872 +07:00 [INF] AccessGranted [ success:true, total:0, data:0]

2021-06-20 18:41:44.863 +07:00 [INF] AccessGranted [ success:true, total:253, data:252]

2021-06-20 18:41:47.397 +07:00 [INF] AccessGranted [ success:true, total:0, data:0]

2021-06-20 18:41:50.650 +07:00 [INF] AccessGranted [ success:true, total:0, data:0]

2021-06-20 18:42:12.050 +07:00 [INF] AccessGranted [ success:true, total:0, data:0]

2021-06-20 18:43:31.216 +07:00 [INF] GET_CARD [ success:1, total:1, data:1]

2021-06-20 18:43:31.236 +07:00 [INF] GET_CARD [ success:1, total:1, data:1]

2021-06-20 18:43:31.279 +07:00 [INF] GET_CARD [ success:1, total:1, data:1]

2021-06-20 18:43:31.290 +07:00 [INF] GET_CARD [ success:1, total:1, data:1]

2021-06-20 18:43:31.300 +07:00 [INF] GET_CARD [ success:1, total:1, data:1]

2021-06-20 18:43:31.351 +07:00 [INF] AccessGranted [ success:true, total:0, data:0]

2021-06-20 18:44:52.592 +07:00 [INF] AccessGranted [ success:true, total:0, data:0]

2021-06-20 18:45:11.900 +07:00 [INF] AccessGranted [ success:true, total:0, data:0]

2021-06-20 18:46:10.238 +07:00 [INF] AccessGranted [ success:true, total:0, data:0]

2021-06-20 18:47:21.489 +07:00 [INF] AccessGranted [ success:true, total:0, data:0]

2021-06-20 18:48:45.940 +07:00 [INF] AccessGranted [ success:true, total:0, data:0]

2021-06-20 18:49:14.965 +07:00 [INF] AccessGranted [ success:true, total:0, data:0]

2021-06-20 18:50:15.325 +07:00 [INF] AccessGranted [ success:true, total:0, data:0]

