2021-07-10 00:06:14.669 +07:00 [INF] AccessGranted [ success:true, total:0, data:0]

2021-07-10 00:07:11.799 +07:00 [INF] AccessGranted [ success:true, total:0, data:0]

2021-07-10 00:08:11.824 +07:00 [INF] AccessGranted [ success:true, total:0, data:0]

2021-07-10 00:09:20.494 +07:00 [INF] AccessGranted [ success:true, total:0, data:0]

2021-07-10 00:13:17.540 +07:00 [INF] AccessGranted [ success:true, total:0, data:0]

2021-07-10 00:18:40.575 +07:00 [INF] AccessGranted [ success:true, total:0, data:0]

2021-07-10 00:19:13.574 +07:00 [INF] AccessGranted [ success:true, total:0, data:0]

2021-07-10 00:19:24.783 +07:00 [INF] AccessGranted [ success:true, total:0, data:0]

2021-07-10 00:20:13.590 +07:00 [INF] AccessGranted [ success:true, total:0, data:0]

2021-07-10 00:27:49.277 +07:00 [INF] AccessGranted [ success:true, total:0, data:0]

2021-07-10 00:28:14.049 +07:00 [INF] AccessGranted [ success:true, total:0, data:0]

2021-07-10 00:29:25.934 +07:00 [INF] AccessGranted [ success:true, total:0, data:0]

2021-07-10 00:30:15.731 +07:00 [INF] AccessGranted [ success:true, total:0, data:0]

2021-07-10 00:31:14.315 +07:00 [INF] AccessGranted [ success:true, total:0, data:0]

2021-07-10 21:21:07.928 +07:00 [INF] AccessGranted [ success:true, total:0, data:0]

2021-07-10 21:22:38.576 +07:00 [INF] AccessGranted [ success:true, total:0, data:0]

2021-07-10 21:22:58.164 +07:00 [INF] AccessGranted [ success:true, total:0, data:0]

2021-07-10 21:23:17.484 +07:00 [INF] AccessGranted [ success:true, total:0, data:0]

2021-07-10 21:32:20.933 +07:00 [INF] AccessGranted [ success:true, total:0, data:0]

2021-07-10 21:32:38.646 +07:00 [INF] AccessGranted [ success:true, total:0, data:0]

2021-07-10 21:32:46.630 +07:00 [INF] AccessGranted [ success:true, total:0, data:0]

2021-07-10 21:32:46.630 +07:00 [INF] AccessGranted [ success:true, total:0, data:0]

2021-07-10 21:46:01.202 +07:00 [INF] AccessGranted [ success:true, total:0, data:0]

2021-07-10 22:05:17.692 +07:00 [INF] AccessGranted [ success:true, total:161, data:160]

2021-07-10 22:20:40.133 +07:00 [INF] AccessGranted [ success:true, total:0, data:0]

2021-07-10 22:30:19.955 +07:00 [INF] AccessGranted [ success:true, total:161, data:160]

2021-07-10 22:40:49.312 +07:00 [INF] AccessGranted [ success:true, total:161, data:160]

2021-07-10 22:53:32.086 +07:00 [INF] AccessGranted [ success:true, total:161, data:160]

2021-07-10 22:56:56.518 +07:00 [INF] AccessGranted [ success:true, total:161, data:160]

2021-07-10 22:57:58.375 +07:00 [INF] GET_USER [ success:1, total:1, data:1]

2021-07-10 22:57:58.375 +07:00 [INF] GET_CARD [ success:1, total:1, data:1]

2021-07-10 22:57:58.378 +07:00 [INF] GET_CARD [ success:1, total:1, data:1]

2021-07-10 22:57:58.383 +07:00 [INF] http://localhost:8080/ASWeb/WebService.srf?action=GET_USER&token=10F85D4B38204452B11C1C86E1427B0F&module=persondata&ch_id=148 [ success:1, total:1, data:1]

2021-07-10 22:57:58.386 +07:00 [INF] GET_USER [ success:1, total:1, data:1]

2021-07-10 22:57:58.391 +07:00 [INF] http://localhost:8080/ASWeb/WebService.srf?action=GET_USER&token=10F85D4B38204452B11C1C86E1427B0F&module=persondata&ch_id=171 [ success:1, total:1, data:1]

2021-07-10 22:58:00.536 +07:00 [INF] GET_USER [ success:1, total:1, data:1]

2021-07-10 22:58:00.541 +07:00 [INF] GET_CARD [ success:1, total:1, data:1]

2021-07-10 22:58:00.545 +07:00 [INF] http://localhost:8080/ASWeb/WebService.srf?action=GET_USER&token=10F85D4B38204452B11C1C86E1427B0F&module=persondata&ch_id=117 [ success:1, total:1, data:1]

2021-07-10 22:58:00.559 +07:00 [INF] GET_CARD [ success:1, total:1, data:1]

2021-07-10 22:58:00.590 +07:00 [INF] GET_USER [ success:1, total:1, data:1]

2021-07-10 22:58:00.592 +07:00 [INF] GET_USER [ success:1, total:1, data:1]

