2021-07-11 00:04:00.942 +07:00 [INF] GET_CARD [ success:true, total:238, data:237]

2021-07-11 00:04:37.333 +07:00 [INF] [OK]ASAccessGranted [ success:true, total:238, data:237]

2021-07-11 00:04:40.838 +07:00 [INF] GET_CARD [ success:1, total:1, data:1]

2021-07-11 00:04:40.842 +07:00 [INF] GET_CARD [ success:1, total:1, data:1]

2021-07-11 00:04:40.845 +07:00 [INF] GET_CARD [ success:1, total:1, data:1]

2021-07-11 00:04:40.849 +07:00 [INF] GET_CARD [ success:1, total:1, data:1]

2021-07-11 00:04:40.858 +07:00 [INF] GET_CARD [ success:1, total:1, data:1]

2021-07-11 00:04:40.863 +07:00 [INF] GET_CARD [ success:1, total:1, data:1]

2021-07-11 00:04:40.868 +07:00 [INF] GET_CARD [ success:1, total:1, data:1]

2021-07-11 00:04:40.870 +07:00 [INF] GET_CARD [ success:1, total:1, data:1]

2021-07-11 00:04:40.872 +07:00 [INF] GET_CARD [ success:1, total:1, data:1]

2021-07-11 00:04:40.874 +07:00 [INF] GET_CARD [ success:1, total:1, data:1]

2021-07-11 00:04:40.875 +07:00 [INF] GET_CARD [ success:1, total:1, data:1]

2021-07-11 00:04:40.876 +07:00 [INF] GET_CARD [ success:1, total:1, data:1]

2021-07-11 00:04:40.881 +07:00 [INF] GET_CARD [ success:1, total:1, data:1]

2021-07-11 00:04:40.881 +07:00 [INF] GET_CARD [ success:1, total:1, data:1]

2021-07-11 00:04:40.882 +07:00 [INF] GET_CARD [ success:1, total:1, data:1]

2021-07-11 00:04:40.883 +07:00 [INF] GET_CARD [ success:1, total:1, data:1]

2021-07-11 00:04:40.887 +07:00 [INF] GET_CARD [ success:1, total:1, data:1]

2021-07-11 00:04:40.890 +07:00 [INF] GET_CARD [ success:1, total:1, data:1]

2021-07-11 00:04:41.438 +07:00 [INF] GET_CARD [ success:1, total:1, data:1]

2021-07-11 00:04:41.439 +07:00 [INF] GET_CARD [ success:1, total:1, data:1]

2021-07-11 00:04:42.438 +07:00 [INF] GET_CARD [ success:1, total:1, data:1]

2021-07-11 00:04:43.146 +07:00 [INF] GET_CARD [ success:1, total:1, data:1]

2021-07-11 00:04:43.351 +07:00 [INF] GET_CARD [ success:1, total:1, data:1]

2021-07-11 00:04:43.359 +07:00 [INF] GET_CARD [ success:1, total:1, data:1]

2021-07-11 00:04:43.373 +07:00 [INF] GET_CARD [ success:1, total:1, data:1]

2021-07-11 00:04:43.382 +07:00 [INF] GET_CARD [ success:1, total:1, data:1]

2021-07-11 00:04:43.386 +07:00 [INF] GET_CARD [ success:1, total:1, data:1]

2021-07-11 00:04:43.392 +07:00 [INF] GET_CARD [ success:1, total:1, data:1]

2021-07-11 00:04:43.394 +07:00 [INF] GET_CARD [ success:1, total:1, data:1]

2021-07-11 00:04:43.397 +07:00 [INF] GET_CARD [ success:1, total:1, data:1]

2021-07-11 00:05:12.368 +07:00 [INF] GET_CARD [ success:true, total:0, data:0]

2021-07-11 00:06:26.891 +07:00 [INF] GET_CARD [ success:true, total:238, data:237]

2021-07-11 00:06:35.792 +07:00 [INF] [OK]ASAccessGranted [ success:true, total:238, data:237]

2021-07-11 00:06:38.984 +07:00 [INF] GET_CARD [ success:1, total:1, data:1]

2021-07-11 00:06:38.990 +07:00 [INF] GET_CARD [ success:1, total:1, data:1]

2021-07-11 00:06:38.997 +07:00 [INF] GET_CARD [ success:1, total:1, data:1]

2021-07-11 00:10:19.207 +07:00 [INF] GET_CARD [ success:true, total:202, data:201]

2021-07-11 00:10:19.222 +07:00 [INF] GET_CARD [ success:true, total:0, data:0]

2021-07-11 00:10:52.084 +07:00 [INF] [OK]ASAccessGranted [ success:true, total:202, data:201]

2021-07-11 00:10:55.240 +07:00 [INF] GET_CARD [ success:1, total:1, data:1]

2021-07-11 00:10:55.244 +07:00 [INF] GET_CARD [ success:1, total:1, data:1]

2021-07-11 00:10:55.487 +07:00 [INF] GET_CARD [ success:1, total:1, data:1]

2021-07-11 00:10:55.500 +07:00 [INF] GET_CARD [ success:1, total:1, data:1]

2021-07-11 00:10:55.504 +07:00 [INF] GET_CARD [ success:1, total:1, data:1]

2021-07-11 00:10:55.510 +07:00 [INF] GET_CARD [ success:1, total:1, data:1]

